id,filename,name,datum,utm_zone
10323738,MDT02-ETRS89-HU29-0024-3-COB2.asc,0024-3,ETRS89,29
10323740,MDT02-ETRS89-HU29-0024-4-COB2.asc,0024-4,ETRS89,29
10323741,MDT02-ETRS89-HU29-0025-1-COB2.asc,0025-1,ETRS89,29
10323745,MDT02-ETRS89-HU29-0025-3-COB2.asc,0025-3,ETRS89,29
10323730,MDT02-ETRS89-HU29-0043-2-COB2.asc,0043-2,ETRS89,29
10323913,MDT02-ETRS89-HU29-0043-3-COB2.asc,0043-3,ETRS89,29
10323859,MDT02-ETRS89-HU29-0043-4-COB2.asc,0043-4,ETRS89,29
10323749,MDT02-ETRS89-HU29-0044-1-COB2.asc,0044-1,ETRS89,29
10323723,MDT02-ETRS89-HU29-0044-2-COB2.asc,0044-2,ETRS89,29
10323708,MDT02-ETRS89-HU29-0044-3-COB2.asc,0044-3,ETRS89,29
10323892,MDT02-ETRS89-HU29-0044-4-COB2.asc,0044-4,ETRS89,29
10323843,MDT02-ETRS89-HU29-0045-1-COB2.asc,0045-1,ETRS89,29
10323907,MDT02-ETRS89-HU29-0045-2-COB2.asc,0045-2,ETRS89,29
10323720,MDT02-ETRS89-HU29-0045-3-COB2.asc,0045-3,ETRS89,29
10323910,MDT02-ETRS89-HU29-0045-4-COB2.asc,0045-4,ETRS89,29
10323874,MDT02-ETRS89-HU29-0046-1-COB2.asc,0046-1,ETRS89,29
10323944,MDT02-ETRS89-HU29-0046-2-COB2.asc,0046-2,ETRS89,29
10323897,MDT02-ETRS89-HU29-0046-3-COB2.asc,0046-3,ETRS89,29
10323943,MDT02-ETRS89-HU29-0046-4-COB2.asc,0046-4,ETRS89,29
10323950,MDT02-ETRS89-HU29-0047-1-COB2.asc,0047-1,ETRS89,29
10323953,MDT02-ETRS89-HU29-0047-2-COB2.asc,0047-2,ETRS89,29
10323970,MDT02-ETRS89-HU29-0047-3-COB2.asc,0047-3,ETRS89,29
10323839,MDT02-ETRS89-HU29-0047-4-COB2.asc,0047-4,ETRS89,29
10323905,MDT02-ETRS89-HU29-0048-1-COB2.asc,0048-1,ETRS89,29
10323918,MDT02-ETRS89-HU29-0048-2-COB2.asc,0048-2,ETRS89,29
10323930,MDT02-ETRS89-HU29-0048-3-COB2.asc,0048-3,ETRS89,29
10323731,MDT02-ETRS89-HU29-0048-4-COB2.asc,0048-4,ETRS89,29
10323811,MDT02-ETRS89-HU29-0049-1-COB2.asc,0049-1,ETRS89,29
10323783,MDT02-ETRS89-HU29-0049-3-COB2.asc,0049-3,ETRS89,29
10323819,MDT02-ETRS89-HU29-0049-4-COB2.asc,0049-4,ETRS89,29
