filename,id,datum,utm_zone,date,size
PNOA-MDT25-ETRS89-HU29-0223-LID.TIF,0223,ETRS89,29,"2009, 2010",2.64
PNOA-MDT25-ETRS89-HU29-0224-LID.TIF,0224,ETRS89,29,2009,3.39
PNOA-MDT25-ETRS89-HU29-0225-LID.TIF,0225,ETRS89,29,2009,3.3
PNOA-MDT25-ETRS89-HU29-0226-LID.TIF,0226,ETRS89,29,2009,3.34
PNOA-MDT25-ETRS89-HU29-0227-LID.TIF,0227,ETRS89,29,2009,3.36
PNOA-MDT25-ETRS89-HU29-0228-LID.TIF,0228,ETRS89,29,"2009, 2010",3.37
PNOA-MDT25-ETRS89-HU29-0229-LID.TIF,0229,ETRS89,29,"2009, 2010",3.43
PNOA-MDT25-ETRS89-HU29-0230-LID.TIF,0230,ETRS89,29,2010,3.42
PNOA-MDT25-ETRS89-HU29-0231-LID.TIF,0231,ETRS89,29,2010,3.22
PNOA-MDT25-ETRS89-HU29-0260-LID.TIF,0260,ETRS89,29,"2009, 2010",0.3
PNOA-MDT25-ETRS89-HU29-0261-LID.TIF,0261,ETRS89,29,"2009, 2010",3.1
PNOA-MDT25-ETRS89-HU29-0262-LID.TIF,0262,ETRS89,29,2009,1.97
PNOA-MDT25-ETRS89-HU29-0263-LID.TIF,0263,ETRS89,29,2009,3.16
PNOA-MDT25-ETRS89-HU29-0264-LID.TIF,0264,ETRS89,29,2009,3.04
PNOA-MDT25-ETRS89-HU29-0265-LID.TIF,0265,ETRS89,29,2009,3.37
PNOA-MDT25-ETRS89-HU29-0266-LID.TIF,0266,ETRS89,29,"2009, 2010",3.38
PNOA-MDT25-ETRS89-HU29-0267-LID.TIF,0267,ETRS89,29,2010,3.34
PNOA-MDT25-ETRS89-HU29-0268-LID.TIF,0268,ETRS89,29,2010,3.27
PNOA-MDT25-ETRS89-HU29-0269-LID.TIF,0269,ETRS89,29,2010,3.19
PNOA-MDT25-ETRS89-HU29-0298-LID.TIF,0298,ETRS89,29,2009,0.28
PNOA-MDT25-ETRS89-HU29-0299-LID.TIF,0299,ETRS89,29,2009,1.12
PNOA-MDT25-ETRS89-HU29-0300B-LID.TIF,0300,ETRS89,29,2009,0.03
PNOA-MDT25-ETRS89-HU29-0300-LID.TIF,0300,ETRS89,29,2009,0.48
PNOA-MDT25-ETRS89-HU29-0301-LID.TIF,0301,ETRS89,29,2009,3.29
PNOA-MDT25-ETRS89-HU29-0302B-LID.TIF,0302,ETRS89,29,2009,0.33
PNOA-MDT25-ETRS89-HU29-0302-LID.TIF,0302,ETRS89,29,2009,3.16
PNOA-MDT25-ETRS89-HU29-0303B-LID.TIF,0303,ETRS89,29,2009,0.46
PNOA-MDT25-ETRS89-HU29-0303-LID.TIF,0303,ETRS89,29,2009,3.33
PNOA-MDT25-ETRS89-HU29-0304-LID.TIF,0304,ETRS89,29,"2009, 2010",1.68
PNOA-MDT25-ETRS89-HU29-0305-LID.TIF,0305,ETRS89,29,2010,2.29
PNOA-MDT25-ETRS89-HU29-0306-LID.TIF,0306,ETRS89,29,2010,3.28
PNOA-MDT25-ETRS89-HU29-0307-LID.TIF,0307,ETRS89,29,2010,3.22
PNOA-MDT25-ETRS89-HU29-0336-LID.TIF,0336,ETRS89,29,2009,0.47
PNOA-MDT25-ETRS89-HU29-0337-LID.TIF,0337,ETRS89,29,"2010, 2014",0.77
PNOA-MDT25-ETRS89-HU29-0338-LID.TIF,0338,ETRS89,29,"2010, 2014",3.29
PNOA-MDT25-ETRS89-HU29-0339-LID.TIF,0339,ETRS89,29,"2010, 2014",3.29
PNOA-MDT25-ETRS89-HU29-0367-LID.TIF,0367,ETRS89,29,2014,0.88
PNOA-MDT25-ETRS89-HU29-0368-LID.TIF,0368,ETRS89,29,"2010, 2014",3.17
PNOA-MDT25-ETRS89-HU29-0395-LID.TIF,0395,ETRS89,29,2014,1.76
PNOA-MDT25-ETRS89-HU29-0396-LID.TIF,0396,ETRS89,29,2014,3.19
PNOA-MDT25-ETRS89-HU29-0422-LID.TIF,0422,ETRS89,29,2014,1.11
PNOA-MDT25-ETRS89-HU29-0423-LID.TIF,0423,ETRS89,29,2014,2.81
PNOA-MDT25-ETRS89-HU29-0424-LID.TIF,0424,ETRS89,29,2014,3.14
PNOA-MDT25-ETRS89-HU29-0448B-LID.TIF,0448,ETRS89,29,2014,0.29
PNOA-MDT25-ETRS89-HU29-0449-LID.TIF,0449,ETRS89,29,2014,2.84
PNOA-MDT25-ETRS89-HU29-0450-LID.TIF,0450,ETRS89,29,2014,3.18
PNOA-MDT25-ETRS89-HU29-0451-LID.TIF,0451,ETRS89,29,2014,3.18
PNOA-MDT25-ETRS89-HU29-0474-LID.TIF,0474,ETRS89,29,2014,0.29
PNOA-MDT25-ETRS89-HU29-0475-LID.TIF,0475,ETRS89,29,2014,3.26
PNOA-MDT25-ETRS89-HU29-0476-LID.TIF,0476,ETRS89,29,2014,3.23
PNOA-MDT25-ETRS89-HU29-0477-LID.TIF,0477,ETRS89,29,2014,3.19
PNOA-MDT25-ETRS89-HU29-0500-LID.TIF,0500,ETRS89,29,2014,3.11
PNOA-MDT25-ETRS89-HU29-0501-LID.TIF,0501,ETRS89,29,2014,3.12
PNOA-MDT25-ETRS89-HU29-0502-LID.TIF,0502,ETRS89,29,2014,3.28
PNOA-MDT25-ETRS89-HU29-0525-LID.TIF,0525,ETRS89,29,2014,3.06
PNOA-MDT25-ETRS89-HU29-0526-LID.TIF,0526,ETRS89,29,"2010, 2014",3.38
PNOA-MDT25-ETRS89-HU29-0527-LID.TIF,0527,ETRS89,29,"2010, 2014",3.45
PNOA-MDT25-ETRS89-HU29-0550-LID.TIF,0550,ETRS89,29,"2010, 2014",3.26
PNOA-MDT25-ETRS89-HU29-0551-LID.TIF,0551,ETRS89,29,"2010, 2014",3.54
PNOA-MDT25-ETRS89-HU29-0552-LID.TIF,0552,ETRS89,29,"2010, 2014",3.61
PNOA-MDT25-ETRS89-HU29-0572-LID.TIF,0572,ETRS89,29,"2010, 2014",1.91
PNOA-MDT25-ETRS89-HU29-0573-LID.TIF,0573,ETRS89,29,"2010, 2014",3.51
PNOA-MDT25-ETRS89-HU29-0574-LID.TIF,0574,ETRS89,29,2010,3.57
PNOA-MDT25-ETRS89-HU29-0575-LID.TIF,0575,ETRS89,29,"2010, 2014",3.4
PNOA-MDT25-ETRS89-HU29-0595-LID.TIF,0595,ETRS89,29,2010,1.52
PNOA-MDT25-ETRS89-HU29-0596-LID.TIF,0596,ETRS89,29,2010,3.33
PNOA-MDT25-ETRS89-HU29-0597-LID.TIF,0597,ETRS89,29,2010,3.37
