series,name,id,page
MDT05,PNOA-MDT05-ETRS89-HU29-0958-LID.asc,9071354,5
MDT05,PNOA-MDT05-ETRS89-HU29-0959-LID.asc,9071355,5
MDT05,PNOA-MDT05-ETRS89-HU29-0960-LID.asc,9071356,5
MDT05,PNOA-MDT05-ETRS89-HU29-0961-LID.asc,9071357,5
MDT05,PNOA-MDT05-ETRS89-HU29-0962-LID.asc,9071358,5
MDT05,PNOA-MDT05-ETRS89-HU29-0980-LID.asc,9071359,5
MDT05,PNOA-MDT05-ETRS89-HU29-0981-LID.asc,9071360,5
MDT05,PNOA-MDT05-ETRS89-HU29-0982-LID.asc,9071361,5
MDT05,PNOA-MDT05-ETRS89-HU29-0983-LID.asc,9071362,5
MDT05,PNOA-MDT05-ETRS89-HU29-0984-LID.asc,9071363,5
MDT05,PNOA-MDT05-ETRS89-HU29-0998-LID.asc,9071364,5
MDT05,PNOA-MDT05-ETRS89-HU29-0999-LID.asc,9071365,5
MDT05,PNOA-MDT05-ETRS89-HU29-1000-LID.asc,9071366,5
MDT05,PNOA-MDT05-ETRS89-HU29-1001-LID.asc,9071367,5
MDT05,PNOA-MDT05-ETRS89-HU29-1002-LID.asc,9071368,5
MDT05,PNOA-MDT05-ETRS89-HU29-1016-LID.asc,9071369,5
MDT05,PNOA-MDT05-ETRS89-HU29-1017-LID.asc,9071370,5
MDT05,PNOA-MDT05-ETRS89-HU29-1018-LID.asc,9071371,5
MDT05,PNOA-MDT05-ETRS89-HU29-1019-LID.asc,9071372,5
MDT05,PNOA-MDT05-ETRS89-HU29-1032B-LID.asc,9071373,5
MDT05,PNOA-MDT05-ETRS89-HU29-1033-LID.asc,9071374,5
MDT05,PNOA-MDT05-ETRS89-HU29-1034-LID.asc,9071375,5
MDT05,PNOA-MDT05-ETRS89-HU29-1047-LID.asc,9071376,5
MDT05,PNOA-MDT05-ETRS89-HU29-1048-LID.asc,9071377,5
MDT05,PNOA-MDT05-ETRS89-HU29-1061-LID.asc,9071378,5
MDT05,PNOA-MDT05-ETRS89-HU29-1062-LID.asc,9071379,5
MDT05,PNOA-MDT05-ETRS89-HU29-1068-LID.asc,9071380,5
MDT05,PNOA-MDT05-ETRS89-HU29-1069-LID.asc,9071381,5
MDT05,PNOA-MDT05-ETRS89-HU29-1073-LID.asc,9071382,5
MDT05,PNOA-MDT05-ETRS89-HU29-1076-LID.asc,9071383,5
MDT05,PNOA-MDT05-ETRS89-HU30-0001-LID.asc,9071384,5
MDT05,PNOA-MDT05-ETRS89-HU30-0002-LID.asc,9071385,5
MDT05,PNOA-MDT05-ETRS89-HU30-0003-LID.asc,9071386,6
MDT05,PNOA-MDT05-ETRS89-HU30-0006-LID.asc,9071387,6
MDT05,PNOA-MDT05-ETRS89-HU30-0007-LID.asc,9071388,6
MDT05,PNOA-MDT05-ETRS89-HU30-0008-LID.asc,9071389,6
MDT05,PNOA-MDT05-ETRS89-HU30-0009-LID.asc,9071390,6
MDT05,PNOA-MDT05-ETRS89-HU30-0010-LID.asc,9071391,6
MDT05,PNOA-MDT05-ETRS89-HU30-0011-LID.asc,9071392,6
MDT05,PNOA-MDT05-ETRS89-HU30-0012-LID.asc,9071393,6
MDT05,PNOA-MDT05-ETRS89-HU30-0013-LID.asc,9071394,6
MDT05,PNOA-MDT05-ETRS89-HU30-0014-LID.asc,9071395,6
MDT05,PNOA-MDT05-ETRS89-HU30-0015-LID.asc,9071396,6
MDT05,PNOA-MDT05-ETRS89-HU30-0018-LID.asc,9071397,6
MDT05,PNOA-MDT05-ETRS89-HU30-0020-LID.asc,9071398,6
MDT05,PNOA-MDT05-ETRS89-HU30-0021-LID.asc,9071399,6
MDT05,PNOA-MDT05-ETRS89-HU30-0022-LID.asc,9071400,6
MDT05,PNOA-MDT05-ETRS89-HU30-0023-LID.asc,9071401,6
MDT05,PNOA-MDT05-ETRS89-HU30-0024-LID.asc,9071402,6
MDT05,PNOA-MDT05-ETRS89-HU30-0025-LID.asc,9071403,6
MDT05,PNOA-MDT05-ETRS89-HU30-0026-LID.asc,9071404,6
MDT05,PNOA-MDT05-ETRS89-HU30-0027-LID.asc,9071405,6
MDT05,PNOA-MDT05-ETRS89-HU30-0028-LID.asc,9071406,6
MDT05,PNOA-MDT05-ETRS89-HU30-0029-LID.asc,9071407,6
MDT05,PNOA-MDT05-ETRS89-HU30-0030-LID.asc,9071408,6
MDT05,PNOA-MDT05-ETRS89-HU30-0031-LID.asc,9071409,6
MDT05,PNOA-MDT05-ETRS89-HU30-0032-LID.asc,9071410,6
MDT05,PNOA-MDT05-ETRS89-HU30-0033-LID.asc,9071411,6
MDT05,PNOA-MDT05-ETRS89-HU30-0034-LID.asc,9071412,6
MDT05,PNOA-MDT05-ETRS89-HU30-0035-LID.asc,9071413,6
MDT05,PNOA-MDT05-ETRS89-HU30-0036-LID.asc,9071414,6
MDT05,PNOA-MDT05-ETRS89-HU30-0037-LID.asc,9071415,6
MDT05,PNOA-MDT05-ETRS89-HU30-0038-LID.asc,9071416,6
MDT05,PNOA-MDT05-ETRS89-HU30-0039-LID.asc,9071417,6
MDT05,PNOA-MDT05-ETRS89-HU30-0040-LID.asc,9071418,6
