filename,name,datum,utm_zone,date,size
PNOA-MDT05-ETRS89-HU29-0300-LID.TIF,0300,MDT05,29,2009,11.48
PNOA-MDT05-ETRS89-HU29-0301-LID.TIF,0301,MDT05,29,2009,82.16
PNOA-MDT05-ETRS89-HU29-0302B-LID.TIF,0302,MDT05,29,2009,7.56
PNOA-MDT05-ETRS89-HU29-0302-LID.TIF,0302,MDT05,29,2009,77.86
PNOA-MDT05-ETRS89-HU29-0303B-LID.TIF,0303,MDT05,29,2009,10.82
PNOA-MDT05-ETRS89-HU29-0303-LID.TIF,0303,MDT05,29,2009,82.17
PNOA-MDT05-ETRS89-HU29-0304-LID.TIF,0304,MDT05,29,"2009, 2010",41.87
PNOA-MDT05-ETRS89-HU29-0305-LID.TIF,0305,MDT05,29,2010,57.2
PNOA-MDT05-ETRS89-HU29-0306-LID.TIF,0306,MDT05,29,2010,79.33
PNOA-MDT05-ETRS89-HU29-0307-LID.TIF,0307,MDT05,29,2010,76.7
PNOA-MDT05-ETRS89-HU29-0336-LID.TIF,0336,MDT05,29,2009,14.96
PNOA-MDT05-ETRS89-HU29-0337-LID.TIF,0337,MDT05,29,"2010, 2014",25.19
PNOA-MDT05-ETRS89-HU29-0338-LID.TIF,0338,MDT05,29,"2010, 2014",80.22
PNOA-MDT05-ETRS89-HU29-0339-LID.TIF,0339,MDT05,29,"2010, 2014",79.71
PNOA-MDT05-ETRS89-HU29-0367-LID.TIF,0367,MDT05,29,2014,42.45
PNOA-MDT05-ETRS89-HU29-0368-LID.TIF,0368,MDT05,29,"2010, 2014",77.29
PNOA-MDT05-ETRS89-HU29-0395-LID.TIF,0395,MDT05,29,2014,41.75
PNOA-MDT05-ETRS89-HU29-0396-LID.TIF,0396,MDT05,29,2014,77.75
PNOA-MDT05-ETRS89-HU29-0422-LID.TIF,0422,MDT05,29,2014,27.01
PNOA-MDT05-ETRS89-HU29-0423-LID.TIF,0423,MDT05,29,2014,67.78
PNOA-MDT05-ETRS89-HU29-0424-LID.TIF,0424,MDT05,29,2014,74.93
PNOA-MDT05-ETRS89-HU29-0448B-LID.TIF,0448,MDT05,29,2014,6.89
PNOA-MDT05-ETRS89-HU29-0449-LID.TIF,0449,MDT05,29,2014,69.12
PNOA-MDT05-ETRS89-HU29-0450-LID.TIF,0450,MDT05,29,2014,75.72
PNOA-MDT05-ETRS89-HU29-0451-LID.TIF,0451,MDT05,29,2014,76.95
PNOA-MDT05-ETRS89-HU29-0474-LID.TIF,0474,MDT05,29,2014,6.86
PNOA-MDT05-ETRS89-HU29-0475-LID.TIF,0475,MDT05,29,2014,78.75
PNOA-MDT05-ETRS89-HU29-0476-LID.TIF,0476,MDT05,29,2014,78.15
PNOA-MDT05-ETRS89-HU29-0477-LID.TIF,0477,MDT05,29,2014,75.48
PNOA-MDT05-ETRS89-HU29-0500-LID.TIF,0500,MDT05,29,2014,75.86
PNOA-MDT05-ETRS89-HU29-0501-LID.TIF,0501,MDT05,29,2014,72.77
PNOA-MDT05-ETRS89-HU29-0502-LID.TIF,0502,MDT05,29,2014,77.72
PNOA-MDT05-ETRS89-HU29-0525-LID.TIF,0525,MDT05,29,2014,73.75
PNOA-MDT05-ETRS89-HU29-0526-LID.TIF,0526,MDT05,29,"2010, 2014",80.78
PNOA-MDT05-ETRS89-HU29-0527-LID.TIF,0527,MDT05,29,"2010, 2014",84.82
PNOA-MDT05-ETRS89-HU29-0550-LID.TIF,0550,MDT05,29,"2010, 2014",79.42
PNOA-MDT05-ETRS89-HU29-0551-LID.TIF,0551,MDT05,29,"2010, 2014",89.16
PNOA-MDT05-ETRS89-HU29-0552-LID.TIF,0552,MDT05,29,"2010, 2014",90.21
PNOA-MDT05-ETRS89-HU29-0572-LID.TIF,0572,MDT05,29,"2010, 2014",47.11
PNOA-MDT05-ETRS89-HU29-0573-LID.TIF,0573,MDT05,29,"2010, 2014",87.37
PNOA-MDT05-ETRS89-HU29-0574-LID.TIF,0574,MDT05,29,2010,88.79
PNOA-MDT05-ETRS89-HU29-0575-LID.TIF,0575,MDT05,29,"2010, 2014",82.82
PNOA-MDT05-ETRS89-HU29-0595-LID.TIF,0595,MDT05,29,2010,37.33
PNOA-MDT05-ETRS89-HU29-0596-LID.TIF,0596,MDT05,29,2010,80.05
PNOA-MDT05-ETRS89-HU29-0597-LID.TIF,0597,MDT05,29,2010,82.12
PNOA-MDT05-ETRS89-HU29-0598-LID.TIF,0598,MDT05,29,2010,87.19
PNOA-MDT05-ETRS89-HU29-0620-LID.TIF,0620,MDT05,29,2010,31.57
PNOA-MDT05-ETRS89-HU29-0621-LID.TIF,0621,MDT05,29,2010,82.1
PNOA-MDT05-ETRS89-HU29-0622-LID.TIF,0622,MDT05,29,2010,81.51
