id,download_id,series,datum,utm_zone,date,size
0060,9072961,02107,ETRS89,30,"2010, 2012",3.34
0061,9072962,02107,ETRS89,30,"2010, 2012",3.25
0062,9072963,02107,ETRS89,30,2012,3.27
0063,9072964,02107,ETRS89,30,2012,2.94
0064,9072965,02107,ETRS89,30,2012,2.96
0065,9072966,02107,ETRS89,30,2012,3.28
0066,9072967,02107,ETRS89,30,2012,1.4
0067,9072968,02107,ETRS89,30,2010,0.62
0068,9072969,02107,ETRS89,30,2010,3.53
0069,9072970,02107,ETRS89,30,2010,3.57
0070,9072971,02107,ETRS89,30,2010,3.51
0071,9072972,02107,ETRS89,30,"2009, 2010",3.56
0072,9072973,02107,ETRS89,30,2009,3.46
0073,9072974,02107,ETRS89,30,2009,3.55
0074,9072975,02107,ETRS89,30,"2009, 2012",3.62
0075,9072976,02107,ETRS89,30,"2009, 2010, 2012",3.59
0076,9072977,02107,ETRS89,30,"2010, 2012",3.53
0077,9072978,02107,ETRS89,30,"2010, 2012",3.5
0078,9072979,02107,ETRS89,30,"2010, 2012",3.51
0079,9072980,02107,ETRS89,30,"2010, 2012",3.42
0080,9072981,02107,ETRS89,30,"2010, 2012",3.38
0081,9072982,02107,ETRS89,30,"2010, 2012",3.42
0082,9072983,02107,ETRS89,30,"2010, 2012",3.35
0083,9072984,02107,ETRS89,30,"2010, 2012",3.11
0084,9072985,02107,ETRS89,30,"2010, 2012",3.27
0085,9072986,02107,ETRS89,30,"2010, 2012",3.21
0086,9072987,02107,ETRS89,30,"2010, 2012",3.28
0087,9072988,02107,ETRS89,30,2012,3.3
0088,9072989,02107,ETRS89,30,2012,3.36
0089,9072990,02107,ETRS89,30,2012,3.41
0090,9072991,02107,ETRS89,30,2012,3.37
0091,9072993,02107,ETRS89,30,2012,0.42
0091,9072992,02107,ETRS89,30,2012,2.68
0092,9072994,02107,ETRS89,30,2010,0.54
0093,9072995,02107,ETRS89,30,2010,3.32
0094,9072996,02107,ETRS89,30,2010,3.64
0095,9072997,02107,ETRS89,30,2010,3.55
0096,9072998,02107,ETRS89,30,"2009, 2010",3.59
0097,9072999,02107,ETRS89,30,2009,3.56
0098,9073000,02107,ETRS89,30,2009,3.55
0099,9073001,02107,ETRS89,30,"2009, 2010, 2012",3.64
0100,9073002,02107,ETRS89,30,"2009, 2010, 2012",3.56
0101,9073003,02107,ETRS89,30,"2010, 2012",3.49
0102,9073004,02107,ETRS89,30,"2010, 2012",3.43
0103,9073005,02107,ETRS89,30,"2010, 2012",3.41
0104,9073006,02107,ETRS89,30,2010,3.35
0105,9073007,02107,ETRS89,30,2010,3.3
0106,9073008,02107,ETRS89,30,"2010, 2012",3.32
0107,9073009,02107,ETRS89,30,"2010, 2012",3.24
0108,9073010,02107,ETRS89,30,"2010, 2012",3.08
0109,9073011,02107,ETRS89,30,2010,3.2
0110,9073012,02107,ETRS89,30,"2010, 2012",3.18
0111,9073013,02107,ETRS89,30,"2010, 2012",3.19
0112,9073014,02107,ETRS89,30,"2010, 2012",2.98
0113,9073015,02107,ETRS89,30,2012,3.21
0114,9073016,02107,ETRS89,30,2012,3.28
0115,9073017,02107,ETRS89,30,2012,3.33
0116,9073018,02107,ETRS89,30,2012,3.33
0117,9073019,02107,ETRS89,30,"2010, 2012",3.24
0118,9073021,02107,ETRS89,30,"2008, 2009, 2010, 2011",0.7
0118,9073020,02107,ETRS89,30,"2010, 2012",1.9
0119,9073022,02107,ETRS89,30,2010,2.2
0120,9073023,02107,ETRS89,30,2010,3.7
0121,9073024,02107,ETRS89,30,2010,3.67
0122,9073025,02107,ETRS89,30,"2009, 2010",3.63
0123,9073026,02107,ETRS89,30,2009,3.6
0124,9073027,02107,ETRS89,30,2009,3.61
0125,9073028,02107,ETRS89,30,"2009, 2010",3.57
0126,9073029,02107,ETRS89,30,"2009, 2010, 2012",3.53
0127,9073030,02107,ETRS89,30,"2010, 2012",3.5
0128,9073031,02107,ETRS89,30,2010,3.35
0129,9073032,02107,ETRS89,30,2010,3.3
0130,9073033,02107,ETRS89,30,2010,3.29
0131,9073034,02107,ETRS89,30,2010,3.25
0132,9073035,02107,ETRS89,30,2010,3.09
0133,9073036,02107,ETRS89,30,2010,3.14
0134,9073037,02107,ETRS89,30,2010,3.15
0135,9073038,02107,ETRS89,30,2010,3.18
0136,9073039,02107,ETRS89,30,"2010, 2012",3.19
0137,9073040,02107,ETRS89,30,"2010, 2012",3.2
0138,9073041,02107,ETRS89,30,"2010, 2012",3.19
0139,9073042,02107,ETRS89,30,"2010, 2012",3.19
0140,9073043,02107,ETRS89,30,2012,3.3
0141,9073044,02107,ETRS89,30,2012,3.32
0142,9073045,02107,ETRS89,30,"2010, 2012",3.32
0143,9073046,02107,ETRS89,30,"2010, 2012",3.38
0144,9073047,02107,ETRS89,30,"2010, 2012",3.47
0145,9073049,02107,ETRS89,30,2010,0.31
0145,9073048,02107,ETRS89,30,2010,3.43
0146,9073050,02107,ETRS89,30,2010,1.82
0147,9073051,02107,ETRS89,30,2010,1.53
0148,9073052,02107,ETRS89,30,"2008, 2009, 2010, 2011",2.86
0149,9073054,02107,ETRS89,30,"2008, 2009, 2010, 2011",0.22
0149,9073053,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.4
0150,9073055,02107,ETRS89,30,"2008, 2009, 2010, 2011",1.72
0151,9073056,02107,ETRS89,30,2010,1.28
0152,9073057,02107,ETRS89,30,2010,3.22
0153,9073058,02107,ETRS89,30,"2009, 2010",3.74
0154,9073059,02107,ETRS89,30,"2009, 2010",3.62
0155,9073060,02107,ETRS89,30,2009,3.62
0156,9073061,02107,ETRS89,30,2009,3.63
0157,9073062,02107,ETRS89,30,"2009, 2010",3.61
0158,9073063,02107,ETRS89,30,"2009, 2010",3.46
0159,9073064,02107,ETRS89,30,2010,3.45
0160,9073065,02107,ETRS89,30,2010,3.23
0161,9073066,02107,ETRS89,30,2010,3.12
0162,9073067,02107,ETRS89,30,2010,3.13
0163,9073068,02107,ETRS89,30,2010,3.14
0164,9073069,02107,ETRS89,30,2010,3.06
0165,9073070,02107,ETRS89,30,2010,3.13
0166,9073071,02107,ETRS89,30,2010,3.08
0167,9073072,02107,ETRS89,30,2010,3.13
0168,9073073,02107,ETRS89,30,2010,3.05
0169,9073074,02107,ETRS89,30,"2010, 2012",3.11
0170,9073075,02107,ETRS89,30,"2010, 2012",3.2
0171,9073076,02107,ETRS89,30,"2010, 2012",3.22
0172,9073077,02107,ETRS89,30,2012,3.21
0173,9073078,02107,ETRS89,30,2012,3.32
0174,9073079,02107,ETRS89,30,"2010, 2012",3.35
0175,9073080,02107,ETRS89,30,"2010, 2012",3.28
0176,9073081,02107,ETRS89,30,2010,3.38
0177,9073082,02107,ETRS89,30,2010,3.45
0178,9073083,02107,ETRS89,30,2010,3.54
0179,9073084,02107,ETRS89,30,2010,3.63
0180,9073085,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.65
0181,9073086,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.66
0182,9073087,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.71
0183,9073088,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.45
0184,9073089,02107,ETRS89,30,2010,0.31
0185,9073090,02107,ETRS89,30,"2009, 2010",3.14
0186,9073091,02107,ETRS89,30,"2009, 2010",3.78
0187,9073092,02107,ETRS89,30,2009,3.64
0188,9073093,02107,ETRS89,30,2009,3.69
0189,9073094,02107,ETRS89,30,2009,3.68
0190,9073095,02107,ETRS89,30,"2009, 2010",3.65
0191,9073096,02107,ETRS89,30,"2009, 2010",3.6
0192,9073097,02107,ETRS89,30,2010,3.45
0193,9073098,02107,ETRS89,30,2010,3.18
0194,9073099,02107,ETRS89,30,2010,2.85
0195,9073100,02107,ETRS89,30,2010,2.98
0196,9073101,02107,ETRS89,30,2010,3.06
0197,9073102,02107,ETRS89,30,2010,2.94
0198,9073103,02107,ETRS89,30,2010,2.95
0199,9073104,02107,ETRS89,30,2010,2.98
0200,9073105,02107,ETRS89,30,2010,3.07
0201,9073106,02107,ETRS89,30,2010,3.13
0202,9073107,02107,ETRS89,30,2010,3.1
0203,9073108,02107,ETRS89,30,"2010, 2012",3.2
0204,9073109,02107,ETRS89,30,"2010, 2012",3.13
0205,9073110,02107,ETRS89,30,"2010, 2012",3.14
0206,9073111,02107,ETRS89,30,"2010, 2012",3.09
0207,9073112,02107,ETRS89,30,"2010, 2012",3.35
0208,9073113,02107,ETRS89,30,"2010, 2012",3.36
0209,9073114,02107,ETRS89,30,2010,3.39
0210,9073115,02107,ETRS89,30,2010,3.41
0211,9073116,02107,ETRS89,30,2010,3.49
0212,9073117,02107,ETRS89,30,2010,3.52
0213,9073118,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.55
0214,9073119,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.65
0215,9073120,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.65
0216,9073121,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.67
0217,9073123,02107,ETRS89,30,"2008, 2009, 2010, 2011",0.16
0217,9073122,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.14
0218,9073124,02107,ETRS89,30,"2008, 2009, 2010, 2011",2.54
0219,9073125,02107,ETRS89,30,"2008, 2009, 2010, 2011",2.22
0220,9073126,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.39
0221,9073127,02107,ETRS89,30,"2008, 2009, 2010, 2011",0.42
0222,9073128,02107,ETRS89,30,2010,0.11
0223,9073129,02107,ETRS89,30,"2009, 2010",3.01
0224,9073130,02107,ETRS89,30,2009,3.8
0225,9073131,02107,ETRS89,30,2009,3.65
0226,9073132,02107,ETRS89,30,2009,3.61
0227,9073133,02107,ETRS89,30,2009,3.59
0228,9073134,02107,ETRS89,30,"2009, 2010",3.55
0229,9073135,02107,ETRS89,30,"2009, 2010",3.55
0230,9073136,02107,ETRS89,30,2010,3.48
0231,9073137,02107,ETRS89,30,2010,3.23
0232,9073138,02107,ETRS89,30,2010,2.8
0233,9073139,02107,ETRS89,30,2010,3.06
0234,9073140,02107,ETRS89,30,2010,3.01
0235,9073141,02107,ETRS89,30,2010,2.96
0236,9073142,02107,ETRS89,30,2010,2.96
0237,9073143,02107,ETRS89,30,2010,3.05
0238,9073144,02107,ETRS89,30,2010,3.08
0239,9073145,02107,ETRS89,30,2010,3.2
0240,9073146,02107,ETRS89,30,2010,3.28
0241,9073147,02107,ETRS89,30,2010,3.28
0242,9073148,02107,ETRS89,30,2010,3.29
0243,9073149,02107,ETRS89,30,"2010, 2012",3.29
0244,9073150,02107,ETRS89,30,"2010, 2012",3.03
0245,9073151,02107,ETRS89,30,"2010, 2012",3.13
0246,9073152,02107,ETRS89,30,2010,3.33
0247,9073153,02107,ETRS89,30,2010,3.36
0248,9073154,02107,ETRS89,30,2010,3.39
0249,9073155,02107,ETRS89,30,2010,3.49
0250,9073156,02107,ETRS89,30,2010,3.49
0251,9073157,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.54
0252,9073158,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.58
0253,9073159,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.63
0254,9073160,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.69
0255,9073161,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.68
0256,9073162,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.74
0257,9073163,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.79
0258,9073164,02107,ETRS89,30,"2008, 2009, 2010, 2011",3.34
0259,9073165,02107,ETRS89,30,"2008, 2009, 2010, 2011",0.94
0260,9073166,02107,ETRS89,30,"2009, 2010",0.37
0261,9073167,02107,ETRS89,30,"2009, 2010",3.47
